Level,Text,Href,FullURL,ParentPath,FullPath,Title,ChildrenCount
3,Companies under strike off,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-under-strike-off.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-under-strike-off.html,Data & Reports > Company/LLP Information > Companies Under Alert,Data & Reports > Company/LLP Information > Companies Under Alert > Companies under strike off,,0
3,LLPs under strike off,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/llps-under-strike-off.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/llps-under-strike-off.html,Data & Reports > Company/LLP Information > Companies Under Alert,Data & Reports > Company/LLP Information > Companies Under Alert > LLPs under strike off,,0
3,Companies not filed 5INV,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-nf-5inv.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-nf-5inv.html,Data & Reports > Company/LLP Information > Companies Under Alert,Data & Reports > Company/LLP Information > Companies Under Alert > Companies not filed 5INV,,0
1,RD/ROC Information,/content/mca/global/en/data-and-reports/rd-roc-info.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info.html,Data & Reports,Data & Reports > RD/ROC Information,,12
2,"List Of Companies Struck-Off By RoCs (STK-7) U/S 248(5) – CA,13",/content/mca/global/en/data-and-reports/rd-roc-info/companies-struck-roc.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/companies-struck-roc.html,Data & Reports > RD/ROC Information,"Data & Reports > RD/ROC Information > List Of Companies Struck-Off By RoCs (STK-7) U/S 248(5) – CA,13",,0
2,"Notice Of Strike-Off By Registrar(STK-7) As Per Sec. 248(1)-CA,13",/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice-registrar.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice-registrar.html,Data & Reports > RD/ROC Information,"Data & Reports > RD/ROC Information > Notice Of Strike-Off By Registrar(STK-7) As Per Sec. 248(1)-CA,13",,0
2,"Public Notices (STK-5) U/S 248(1)-CA,13",/content/mca/global/en/data-and-reports/rd-roc-info/public-notices.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/public-notices.html,Data & Reports > RD/ROC Information,"Data & Reports > RD/ROC Information > Public Notices (STK-5) U/S 248(1)-CA,13",,0
2,"Public Notices (STK-6) U/S 248(2)-CA, 2013",/content/mca/global/en/data-and-reports/rd-roc-info/public-notices-stk6.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/public-notices-stk6.html,Data & Reports > RD/ROC Information,"Data & Reports > RD/ROC Information > Public Notices (STK-6) U/S 248(2)-CA, 2013",,0
2,List Of Directors Associated With Struck Off Companies U/S 248,/content/mca/global/en/data-and-reports/rd-roc-info/directors-with-struckoff-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/directors-with-struckoff-companies.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > List Of Directors Associated With Struck Off Companies U/S 248,,0
2,List Of Proclaimed Offenders U/S 82 Cr.PC.,/content/mca/global/en/data-and-reports/rd-roc-info/proclaimed-offenders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/proclaimed-offenders.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > List Of Proclaimed Offenders U/S 82 Cr.PC.,,0
2,List Of Disqualified Directors U/S 164 (2)(A),/content/mca/global/en/data-and-reports/rd-roc-info/disqualified-directors.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/disqualified-directors.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > List Of Disqualified Directors U/S 164 (2)(A),,0
2,ROC Adjudication Orders,/content/mca/global/en/data-and-reports/rd-roc-info/roc-adjudication-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/roc-adjudication-orders.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > ROC Adjudication Orders,,0
