href,url,finalUrl,status,len,verdict
/content/mca/global/en/data-and-reports/company-llp-info/incorporated-closed-month.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/incorporated-closed-month.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/incorporated-closed-month.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/csr-data-summary.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/csr-data-summary.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/csr-data-summary.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/puc-range-wise.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/puc-range-wise.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/puc-range-wise.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/mlm.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/mlm.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/mlm.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/vanishing-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/vanishing-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/vanishing-companies.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/disqualified-directors.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/disqualified-directors.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/disqualified-directors.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-companies.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-directors.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-directors.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-directors.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-secretaries.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-secretaries.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-secretaries.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/dormant-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/dormant-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/dormant-companies.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-under-strike-off.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-under-strike-off.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-under-strike-off.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/llps-under-strike-off.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/llps-under-strike-off.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/llps-under-strike-off.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-nf-5inv.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-nf-5inv.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-nf-5inv.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/companies-struck-roc.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/companies-struck-roc.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/companies-struck-roc.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice-registrar.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice-registrar.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice-registrar.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/public-notices.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/public-notices.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/public-notices.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/public-notices-stk6.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/public-notices-stk6.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/public-notices-stk6.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/directors-with-struckoff-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/directors-with-struckoff-companies.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/directors-with-struckoff-companies.html,200,15000,ACCESSIBLE
