text,href,domain,type
IEPF-1A - Statement of amounts credited,/content/mca/global/en/mca/iepf-related-services/IEPF-1A.html,www.mca.gov.in (relative),INTERNAL
IEPF-2 - Statement of unclaimed/unpaid amounts,/content/mca/global/en/mca/iepf-related-services/IEPF-2.html,www.mca.gov.in (relative),INTERNAL
IEPF-4 - Statement of shares and unclaimed/unpaid amounts,/content/mca/global/en/mca/iepf-related-services/IEPF-4.html,www.mca.gov.in (relative),INTERNAL
IEPF-5 Web form - Claiming unpaid amounts and shares,/content/mca/global/en/mca/iepf-related-services/IEPF-5.html,www.mca.gov.in (relative),INTERNAL
Search Unclaimed/ Unpaid Amount and Shares,/content/mca/global/en/mca/iepf-related-services/search-unclaimed-unpaid-amount-shares.html,www.mca.gov.in (relative),INTERNAL
Details of Nodal Officer and Deputy Nodal officer,/content/mca/global/en/mca/iepf-related-services/details-of-nodal-officer-and-deputy-nodal-officer.html,www.mca.gov.in (relative),INTERNAL
ID Databank services,/content/mca/global/en/mca/id-databank-services.html,www.mca.gov.in (relative),INTERNAL
Corporate Registration,/content/mca/global/en/mca/id-databank-services/corporate-registration-v3-new.html,www.mca.gov.in (relative),INTERNAL
Individual Registration,/content/mca/global/en/mca/id-databank-services/individual-registration-v3-new.html,www.mca.gov.in (relative),INTERNAL
Address For Sending Physical Copy of G.A.R 33,/content/mca/global/en/mca/address-for-sending-physical-copy-of-gar-33.html,www.mca.gov.in (relative),INTERNAL
Public Search of Trademark,https://tmrsearch.ipindia.gov.in/tmrpublicsearch/frmmain.aspx,ipindia.gov.in (Trademark),EXTERNAL
Application for MHA Security Clearance,https://esahajmcaservices.nic.in/,esahajmcaservices.nic.in (MHA),EXTERNAL
Additional Services,/content/mca/global/en/additional-services.html,www.mca.gov.in (relative),INTERNAL
Enforcement,/content/mca/global/en/additional-services/Enforcement.html,www.mca.gov.in (relative),INTERNAL
E-adjudication,/content/mca/global/en/additional-services/E-adjudication.html,www.mca.gov.in (relative),INTERNAL
Appeal,/content/mca/global/en/additional-services/appeal.html,www.mca.gov.in (relative),INTERNAL
E-Consultation,/content/mca/global/en/additional-services/econsultation.html,www.mca.gov.in (relative),INTERNAL
Data &amp; Reports,/content/mca/global/en/data-and-reports.html,www.mca.gov.in (relative),INTERNAL
Reports,/content/mca/global/en/data-and-reports/reports.html,www.mca.gov.in (relative),INTERNAL
Annual Reports,/content/mca/global/en/data-and-reports/reports/annual-reports.html,www.mca.gov.in (relative),INTERNAL
Annual Report,/content/mca/global/en/data-and-reports/reports/annual-reports/annual-report.html,www.mca.gov.in (relative),INTERNAL
"Annual Reports on Working &amp; Administration of Companies Act, 2013",/content/mca/global/en/data-and-reports/reports/annual-reports/companies-2013.html,www.mca.gov.in (relative),INTERNAL
"Annual Reports on Working &amp; Administration of Companies Act, 1956",/content/mca/global/en/data-and-reports/reports/annual-reports/companies-1956.html,www.mca.gov.in (relative),INTERNAL
Monthly Information Bulletin,/content/mca/global/en/data-and-reports/reports/monthly-information-bulletin.html,www.mca.gov.in (relative),INTERNAL
Report Of The Expert Committee On Company Law,/content/mca/global/en/data-and-reports/reports/report-company-law.html,www.mca.gov.in (relative),INTERNAL
Expert Committee Reports,/content/mca/global/en/data-and-reports/reports/library.html,www.mca.gov.in (relative),INTERNAL
Miscellaneous,/content/mca/global/en/data-and-reports/reports/miscellaneous.html,www.mca.gov.in (relative),INTERNAL
Compendium-on-CSR,/content/mca/global/en/data-and-reports/reports/miscellaneous/compendium-on-csr.html,www.mca.gov.in (relative),INTERNAL
Company/LLP Information,/content/mca/global/en/data-and-reports/company-llp-info.html,www.mca.gov.in (relative),INTERNAL
Incorporated Or Closed During The Month,/content/mca/global/en/data-and-reports/company-llp-info/incorporated-closed-month.html,www.mca.gov.in (relative),INTERNAL
CSR Data &amp; Summary,/content/mca/global/en/data-and-reports/company-llp-info/csr-data-summary.html,www.mca.gov.in (relative),INTERNAL
PUC Range Wise,/content/mca/global/en/data-and-reports/company-llp-info/puc-range-wise.html,www.mca.gov.in (relative),INTERNAL
Companies Under Alert,/content/mca/global/en/data-and-reports/company-llp-info/under-alert.html,www.mca.gov.in (relative),INTERNAL
MLM Companies,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/mlm.html,www.mca.gov.in (relative),INTERNAL
Vanishing Companies,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/vanishing-companies.html,www.mca.gov.in (relative),INTERNAL
Disqualified Directors,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/disqualified-directors.html,www.mca.gov.in (relative),INTERNAL
Defaulter Companies,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-companies.html,www.mca.gov.in (relative),INTERNAL
Defaulter Directors,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-directors.html,www.mca.gov.in (relative),INTERNAL
Defaulter Secretaries,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/defaulter-secretaries.html,www.mca.gov.in (relative),INTERNAL
Dormant Companies,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/dormant-companies.html,www.mca.gov.in (relative),INTERNAL
Companies under strike off,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-under-strike-off.html,www.mca.gov.in (relative),INTERNAL
LLPs under strike off,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/llps-under-strike-off.html,www.mca.gov.in (relative),INTERNAL
Companies not filed 5INV,/content/mca/global/en/data-and-reports/company-llp-info/under-alert/companies-nf-5inv.html,www.mca.gov.in (relative),INTERNAL
RD/ROC Information,/content/mca/global/en/data-and-reports/rd-roc-info.html,www.mca.gov.in (relative),INTERNAL
"List Of Companies Struck-Off By RoCs (STK-7) U/S 248(5) – CA,13",/content/mca/global/en/data-and-reports/rd-roc-info/companies-struck-roc.html,www.mca.gov.in (relative),INTERNAL
"Notice Of Strike-Off By Registrar(STK-7) As Per Sec. 248(1)-CA,13",/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice-registrar.html,www.mca.gov.in (relative),INTERNAL
"Public Notices (STK-5) U/S 248(1)-CA,13",/content/mca/global/en/data-and-reports/rd-roc-info/public-notices.html,www.mca.gov.in (relative),INTERNAL
"Public Notices (STK-6) U/S 248(2)-CA, 2013",/content/mca/global/en/data-and-reports/rd-roc-info/public-notices-stk6.html,www.mca.gov.in (relative),INTERNAL
List Of Directors Associated With Struck Off Companies U/S 248,/content/mca/global/en/data-and-reports/rd-roc-info/directors-with-struckoff-companies.html,www.mca.gov.in (relative),INTERNAL
List Of Proclaimed Offenders U/S 82 Cr.PC.,/content/mca/global/en/data-and-reports/rd-roc-info/proclaimed-offenders.html,www.mca.gov.in (relative),INTERNAL
List Of Disqualified Directors U/S 164 (2)(A),/content/mca/global/en/data-and-reports/rd-roc-info/disqualified-directors.html,www.mca.gov.in (relative),INTERNAL
ROC Adjudication Orders,/content/mca/global/en/data-and-reports/rd-roc-info/roc-adjudication-orders.html,www.mca.gov.in (relative),INTERNAL
Extension of AGM,/content/mca/global/en/data-and-reports/rd-roc-info/extension-agm.html,www.mca.gov.in (relative),INTERNAL
Notice Of Strike-Off Under LLP Rule 37,/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice.html,www.mca.gov.in (relative),INTERNAL
RD Adjudication Orders,/content/mca/global/en/data-and-reports/rd-roc-info/rd-adjudication-orders.html,www.mca.gov.in (relative),INTERNAL
RD Compounding orders,/content/mca/global/en/data-and-reports/rd-roc-info/rd-Compounding-orders.html,www.mca.gov.in (relative),INTERNAL
Help &amp; FAQs,/content/mca/global/en/help-faq.html,www.mca.gov.in (relative),INTERNAL
FAQs,/content/mca/global/en/help-faq/faqs.html,www.mca.gov.in (relative),INTERNAL
E-Filing,/content/mca/global/en/help-faq/faqs/e-filing2.html,www.mca.gov.in (relative),INTERNAL
Steps for E-Filing,/content/mca/global/en/help-faq/faqs/e-filing2/steps-for-e-filing.html,www.mca.gov.in (relative),INTERNAL
Revised filing steps &amp; FAQs of Form 3 LLP,/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-3-llp.html,www.mca.gov.in (relative),INTERNAL
Revised filing steps &amp; FAQs of Form 11 LLP,/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-11-llp.html,www.mca.gov.in (relative),INTERNAL
Prerequisite Software For E-Filing,/content/mca/global/en/help-faq/faqs/e-filing2/prerequisite-software-for-e-filing.html,www.mca.gov.in (relative),INTERNAL
Company Services,/content/mca/global/en/help-faq/faqs/company-services.html,www.mca.gov.in (relative),INTERNAL
Incorporation &amp; Change services,/content/mca/global/en/help-faq/faqs/company-services/incorporation.html,www.mca.gov.in (relative),INTERNAL
SPICe+ &amp; linked filings,/content/mca/global/en/help-faq/faqs/company-services/incorporation/spiceplus-linked-filings.html,www.mca.gov.in (relative),INTERNAL
One Person Company,/content/mca/global/en/help-faq/faqs/company-services/incorporation/one-person-company.html,www.mca.gov.in (relative),INTERNAL
AGILE-PRO-S Form,/content/mca/global/en/help-faq/faqs/company-services/incorporation/agile-pro-s-form.html,www.mca.gov.in (relative),INTERNAL
Change Company Information,/content/mca/global/en/help-faq/faqs/company-services/incorporation/change-company-information.html,www.mca.gov.in (relative),INTERNAL
DIN Related Forms,/content/mca/global/en/help-faq/faqs/company-services/din-related.html,www.mca.gov.in (relative),INTERNAL
DIR-3 KYC,/content/mca/global/en/help-faq/faqs/company-services/din-related/dir-3-kyc.html,www.mca.gov.in (relative),INTERNAL
Charge Management,/content/mca/global/en/help-faq/faqs/company-services/charge-management.html,www.mca.gov.in (relative),INTERNAL
Informational &amp; Investor Services,/content/mca/global/en/help-faq/faqs/company-services/informational-services.html,www.mca.gov.in (relative),INTERNAL
Compliance Filing,/content/mca/global/en/help-faq/faqs/company-services/compliance-filing.html,www.mca.gov.in (relative),INTERNAL
Approval Services (ROC/RD/HQ),/content/mca/global/en/help-faq/faqs/company-services/approval-services.html,www.mca.gov.in (relative),INTERNAL
Others,/content/mca/global/en/help-faq/faqs/company-services/others.html,www.mca.gov.in (relative),INTERNAL
User Registration &amp; Login,/content/mca/global/en/help-faq/faqs/user-registration2.html,www.mca.gov.in (relative),INTERNAL
Payment,/content/mca/global/en/help-faq/faqs/payment2.html,www.mca.gov.in (relative),INTERNAL
Payment,/content/mca/global/en/help-faq/faqs/payment2/payment.html,www.mca.gov.in (relative),INTERNAL
List Of Authorised Banks,/content/mca/global/en/help-faq/faqs/payment2/list-of-authorised-banks.html,www.mca.gov.in (relative),INTERNAL
Refund,/content/mca/global/en/help-faq/faqs/payment2/refund.html,www.mca.gov.in (relative),INTERNAL
Cancel SRN Due To Unsuccessful Payment,/content/mca/global/en/help-faq/faqs/payment2/cancel-srn-due-to-unsuccessful-payment.html,www.mca.gov.in (relative),INTERNAL
Rates of Stamp Duty,/content/mca/global/en/help-faq/faqs/payment2/rates-of-stamp-duty.html,www.mca.gov.in (relative),INTERNAL
Estamp,/content/mca/global/en/help-faq/faqs/payment2/estamp.html,www.mca.gov.in (relative),INTERNAL
Offline Payment,/content/mca/global/en/help-faq/faqs/offline-payment.html,www.mca.gov.in (relative),INTERNAL
Offline payment,/content/mca/global/en/help-faq/faqs/offline-payment/faqs-offline-payment.html,www.mca.gov.in (relative),INTERNAL
Steps to make offline Payment,/content/mca/global/en/help-faq/faqs/offline-payment/Steps-to-make-Offline-Payment.html,www.mca.gov.in (relative),INTERNAL
Offline payment process for IEPF-1 Form for Pay Miscellaneous Fee,/content/mca/global/en/help-faq/faqs/offline-payment/iepf-for-Pay-Miscellaneous-fee.html,www.mca.gov.in (relative),INTERNAL
DSC Services,/content/mca/global/en/help-faq/faqs/dsc-services.html,www.mca.gov.in (relative),INTERNAL
DSC,/content/mca/global/en/help-faq/faqs/dsc-services/digital-signature-certificate.html,www.mca.gov.in (relative),INTERNAL
V3 Associate DSC,/content/mca/global/en/help-faq/faqs/dsc-services/associate-dsc.html,www.mca.gov.in (relative),INTERNAL
Process for DSC Registration,/content/mca/global/en/help-faq/faqs/dsc-services/dsc-registration.html,www.mca.gov.in (relative),INTERNAL
V2 DSC Requirements,/content/mca/global/en/help-faq/faqs/dsc-services/dsc-requirements.html,www.mca.gov.in (relative),INTERNAL
XBRL,/content/mca/global/en/help-faq/faqs/xbrl1.html,www.mca.gov.in (relative),INTERNAL
MCA Website,/content/mca/global/en/help-faq/faqs/mca-website.html,www.mca.gov.in (relative),INTERNAL
V3 Website,/content/mca/global/en/help-faq/faqs/mca-website/v3-website.html,www.mca.gov.in (relative),INTERNAL
E-Book,/content/mca/global/en/help-faq/faqs/mca-website/e-book.html,www.mca.gov.in (relative),INTERNAL
E-Consultation,/content/mca/global/en/help-faq/faqs/mca-website/e-consultation.html,www.mca.gov.in (relative),INTERNAL
E-adjudication,/content/mca/global/en/help-faq/faqs/e-adjudication.html,www.mca.gov.in (relative),INTERNAL
IEPF,/content/mca/global/en/help-faq/faqs/iepf-website.html,www.mca.gov.in (relative),INTERNAL
FAQs for filing new IEPF-5 -Claimant,/content/mca/global/en/help-faq/faqs/iepf-website/iepf-5-Claimant.html,www.mca.gov.in (relative),INTERNAL
FAQs for filing new EVR -Company,/content/mca/global/en/help-faq/faqs/iepf-website/new-evr-company.html,www.mca.gov.in (relative),INTERNAL
Central Registration Center(CRC),/content/mca/global/en/help-faq/faqs/crc.html,www.mca.gov.in (relative),INTERNAL
Centre For Processing Accelerated Corporate Exit (C-PACE),/content/mca/global/en/help-faq/faqs/c-pace.html,www.mca.gov.in (relative),INTERNAL
System Requirements,/content/mca/global/en/help-faq/faqs/system-requirements1.html,www.mca.gov.in (relative),INTERNAL
Viewing File Formats,/content/mca/global/en/help-faq/faqs/system-requirements1/viewing-file-formats.html,www.mca.gov.in (relative),INTERNAL
Training Documents,/content/mca/global/en/help-faq/faqs/important-documents.html,www.mca.gov.in (relative),INTERNAL
FAQs for Annual Filing,/content/mca/global/en/help-faq/annual-filing.html,www.mca.gov.in (relative),INTERNAL
Commonly Asked Questions on Annual Filing Forms,/content/mca/global/en/help-faq/annual-filing/commonly-asked-questions.html,www.mca.gov.in (relative),INTERNAL
General,/content/mca/global/en/help-faq/annual-filing/general.html,www.mca.gov.in (relative),INTERNAL
ADT forms,/content/mca/global/en/help-faq/annual-filing/adt-forms.html,www.mca.gov.in (relative),INTERNAL
AOC-4 and linked filings,/content/mca/global/en/help-faq/annual-filing/aoc-4-and-linked-filings.html,www.mca.gov.in (relative),INTERNAL
Cost Audit forms,/content/mca/global/en/help-faq/annual-filing/cost-audit-forms.html,www.mca.gov.in (relative),INTERNAL
MGT-7 &amp; MGT-7A,/content/mca/global/en/help-faq/annual-filing/mgt-7-and-mgt-7a.html,www.mca.gov.in (relative),INTERNAL
Offline Filings of Annual Forms,/content/mca/global/en/help-faq/annual-filing/offline-lilings-of-annual-forms.html,www.mca.gov.in (relative),INTERNAL
e-filing Help Kits,/content/mca/global/en/help-faq/e-filing-help-kits.html,www.mca.gov.in (relative),INTERNAL
Company e-filing,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings.html,www.mca.gov.in (relative),INTERNAL
Incorporation Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/incorporation-services.html,www.mca.gov.in (relative),INTERNAL
DIN Related Forms,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/din-related-forms.html,www.mca.gov.in (relative),INTERNAL
Charge Management,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/charge-management.html,www.mca.gov.in (relative),INTERNAL
Deposits,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/Deposits.html,www.mca.gov.in (relative),INTERNAL
Informational Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/informational-services.html,www.mca.gov.in (relative),INTERNAL
Change Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/change-services.html,www.mca.gov.in (relative),INTERNAL
Compliance Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/compliance-services.html,www.mca.gov.in (relative),INTERNAL
Approval Services (Regional Director),/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/approval-services-regional-director.html,www.mca.gov.in (relative),INTERNAL
Approval Services (Registrar of Companies),/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/approval-services.html,www.mca.gov.in (relative),INTERNAL
Approval Services (Headquarters),/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/approval-services-headquarters.html,www.mca.gov.in (relative),INTERNAL
Annual Filings,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/annual-filings.html,www.mca.gov.in (relative),INTERNAL
Nidhi Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/nidhi-services.html,www.mca.gov.in (relative),INTERNAL
Foreign Company Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/foreign-company-services.html,www.mca.gov.in (relative),INTERNAL
Investor Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/investor-services.html,www.mca.gov.in (relative),INTERNAL
IEPF Services,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/iepf-services.html,www.mca.gov.in (relative),INTERNAL
Companies Act 1956 Forms,/content/mca/global/en/help-faq/e-filing-help-kits/company-efilings/companies-act-1956-forms.html,www.mca.gov.in (relative),INTERNAL
LLP e-filing,/content/mca/global/en/help-faq/e-filing-help-kits/llp-efilings.html,www.mca.gov.in (relative),INTERNAL
"Penalties And Offences Under Companies&#39; Act, 2013",/content/mca/global/en/help-faq/penalties-and-Offences-under-companies-act-2013.html,www.mca.gov.in (relative),INTERNAL
Contact Us,/content/mca/global/en/contact-us.html,www.mca.gov.in (relative),INTERNAL
Grievance Cell,/content/mca/global/en/contact-us/grievance-cell.html,www.mca.gov.in (relative),INTERNAL
Minister of Corporate Affairs,/content/mca/global/en/contact-us/minister-corporate-affairs.html,www.mca.gov.in (relative),INTERNAL
Minister of State for Corporate Affairs,/content/mca/global/en/contact-us/minister-state-for-corporate-affairs.html,www.mca.gov.in (relative),INTERNAL
Officials at Head Quarters,/content/mca/global/en/contact-us/officials-at-head-quarters.html,www.mca.gov.in (relative),INTERNAL
D G C O A Officers,/content/mca/global/en/contact-us/DGCOA-Officers.html,www.mca.gov.in (relative),INTERNAL
Regional Directors,/content/mca/global/en/contact-us/rd.html,www.mca.gov.in (relative),INTERNAL
Registrar of Companies,/content/mca/global/en/contact-us/roc.html,www.mca.gov.in (relative),INTERNAL
Official Liquidators,/content/mca/global/en/contact-us/official-liquidators.html,www.mca.gov.in (relative),INTERNAL
Cost Audit Branch (CAB),/content/mca/global/en/contact-us/cost-audit-branch.html,www.mca.gov.in (relative),INTERNAL
Investor Grievance Management Cell,/content/mca/global/en/contact-us/investor-grievance-management-cell.html,www.mca.gov.in (relative),INTERNAL
Liasion Office for SC/ST/OBC,/content/mca/global/en/contact-us/liasion-office.html,www.mca.gov.in (relative),INTERNAL
Web Information Manager,/content/mca/global/en/contact-us/web-information-manager.html,www.mca.gov.in (relative),INTERNAL
HOME,/content/mca/global/en/home.html,www.mca.gov.in (relative),INTERNAL
HOME,/content/mca/global/en/home.html,www.mca.gov.in (relative),INTERNAL
About MCA,/content/mca/global/en/about-us.html,www.mca.gov.in (relative),INTERNAL
About MCA,/content/mca/global/en/about-us/aboutmca.html,www.mca.gov.in (relative),INTERNAL
Image Gallery,/content/mca/global/en/about-us/image-gallery.html,www.mca.gov.in (relative),INTERNAL
Right To Information,/content/mca/global/en/about-us/right-to-information.html,www.mca.gov.in (relative),INTERNAL
"Disclosure of information under Section 4(1)(b) of the RTI Act, 2005",/content/mca/global/en/about-us/right-to-information/disclosure.html,www.mca.gov.in (relative),INTERNAL
Orders,/content/mca/global/en/about-us/right-to-information/orders.html,www.mca.gov.in (relative),INTERNAL
List of CPIOs/ AAs,/content/mca/global/en/about-us/right-to-information/list-of-cpios--aas.html,www.mca.gov.in (relative),INTERNAL
Newsletters,/content/mca/global/en/about-us/newsletter.html,www.mca.gov.in (relative),INTERNAL
Achievements,/content/mca/global/en/about-us/achievements.html,www.mca.gov.in (relative),INTERNAL
MCA Offices,/content/mca/global/en/about-us/mca-offices.html,www.mca.gov.in (relative),INTERNAL
Affiliated Offices,/content/mca/global/en/about-us/affiliated-offices.html,www.mca.gov.in (relative),INTERNAL
Competition Commission of India,/content/mca/global/en/about-us/affiliated-offices/cci.html,www.mca.gov.in (relative),INTERNAL
Insolvency and Bankruptcy Board of India,/content/mca/global/en/about-us/affiliated-offices/ibbi.html,www.mca.gov.in (relative),INTERNAL
Institute of Chartered Accountants of India,/content/mca/global/en/about-us/affiliated-offices/icai.html,www.mca.gov.in (relative),INTERNAL
Institute of Cost Accountants of India,/content/mca/global/en/about-us/affiliated-offices/icoai.html,www.mca.gov.in (relative),INTERNAL
Institute of Company Secretaries of India,/content/mca/global/en/about-us/affiliated-offices/icsi.html,www.mca.gov.in (relative),INTERNAL
Investor Education And Protection Fund Authority,/content/mca/global/en/about-us/affiliated-offices/iepfa.html,www.mca.gov.in (relative),INTERNAL
Indian Institute Of Corporate Affairs,/content/mca/global/en/about-us/affiliated-offices/iica.html,www.mca.gov.in (relative),INTERNAL
National Company Law Appellate Tribunal,/content/mca/global/en/about-us/affiliated-offices/nclat.html,www.mca.gov.in (relative),INTERNAL
National Company Law Tribunal,/content/mca/global/en/about-us/affiliated-offices/nclt.html,www.mca.gov.in (relative),INTERNAL
National Foundation for Corporate Governance,/content/mca/global/en/about-us/affiliated-offices/nfcg.html,www.mca.gov.in (relative),INTERNAL
National Financial Reporting Authority,/content/mca/global/en/about-us/affiliated-offices/nfra.html,www.mca.gov.in (relative),INTERNAL
National Foundation for Corporate Social Responsibility,/content/mca/global/en/about-us/affiliated-offices/nfcsr.html,www.mca.gov.in (relative),INTERNAL
Serious Fraud Investigation Office,/content/mca/global/en/about-us/affiliated-offices/sfo.html,www.mca.gov.in (relative),INTERNAL
Acts &amp; Rules,/content/mca/global/en/acts-rules.html,www.mca.gov.in (relative),INTERNAL
My Application,/content/mca/global/en/application-history.html,www.mca.gov.in (relative),INTERNAL
MCA Services,/content/mca/global/en/mca.html,www.mca.gov.in (relative),INTERNAL
Master Data,/content/mca/global/en/mca/master-data.html,www.mca.gov.in (relative),INTERNAL
Master Data Services,/content/mca/global/en/mca/master-data/MDS.html,www.mca.gov.in (relative),INTERNAL
View Companies/Directors Under Prosecution,/content/mca/global/en/mca/master-data/View-Companies-Directors-under-prosecution-V3.html,www.mca.gov.in (relative),INTERNAL
LLP e-Filing,/content/mca/global/en/mca/llp-e-filling.html,www.mca.gov.in (relative),INTERNAL
RUN-LLP (Reserve Unique Name),/content/mca/global/en/mca/llp-e-filling/run-llp.html,www.mca.gov.in (relative),INTERNAL
Fillip Incorporation of LLP,/content/mca/global/en/mca/llp-e-filling/Fillip.html,www.mca.gov.in (relative),INTERNAL
Form 3 - Information for LLP agreement and changes,/content/mca/global/en/mca/llp-e-filling/Form-3.html,www.mca.gov.in (relative),INTERNAL
Form 4 - Notice for change in information of partners/designated partners,/content/mca/global/en/mca/llp-e-filling/Form-04.html,www.mca.gov.in (relative),INTERNAL
Form 5 - Notice for change of name,/content/mca/global/en/mca/llp-e-filling/form5.html,www.mca.gov.in (relative),INTERNAL
Form 8 - Statement of Account &amp; Solvency,/content/mca/global/en/mca/llp-e-filling/Form-8.html,www.mca.gov.in (relative),INTERNAL
Form 11 - Annual Return of LLP,/content/mca/global/en/mca/llp-e-filling/Form-11.html,www.mca.gov.in (relative),INTERNAL
Form 12 - Form for intimating other address for service of documents,/content/mca/global/en/mca/llp-e-filling/Form12.html,www.mca.gov.in (relative),INTERNAL
Form 15 - Notice for change of place of registered office,/content/mca/global/en/mca/llp-e-filling/Form15.html,www.mca.gov.in (relative),INTERNAL
Form 22 - Notice of Intimation of Order to the Registrar,/content/mca/global/en/mca/llp-e-filling/form22.html,www.mca.gov.in (relative),INTERNAL
Form 23 - Application for direction to LLP to change its name to the Registrar,/content/mca/global/en/mca/llp-e-filling/form-23.html,www.mca.gov.in (relative),INTERNAL
Form 24 - Application for striking off name,/content/mca/global/en/mca/llp-e-filling/form-24.html,www.mca.gov.in (relative),INTERNAL
Form 25 - Reservation/ renewal of name by a FLLP or Foreign Company,/content/mca/global/en/mca/llp-e-filling/Form-25.html,www.mca.gov.in (relative),INTERNAL
Form 27 - Registration of particulars by FLLP,/content/mca/global/en/mca/llp-e-filling/Form-27.html,www.mca.gov.in (relative),INTERNAL
Form 28 - Reporting of Alteration / closure,/content/mca/global/en/mca/llp-e-filling/Form-28.html,www.mca.gov.in (relative),INTERNAL
Form 31 - Application for compounding of an offence under the Act,/content/mca/global/en/mca/llp-e-filling/form31.html,www.mca.gov.in (relative),INTERNAL
Form 32 - Filing addendum for rectification of defects or incompleteness,/content/mca/global/en/mca/llp-e-filling/form-32.html,www.mca.gov.in (relative),INTERNAL
Form LLP BEN 2 - Return to the Registrar in respect of declaration under section 90,/content/mca/global/en/mca/llp-e-filling/LLP-BEN-2.html,www.mca.gov.in (relative),INTERNAL
Form 4D - Return to the Registrar in respect of declaration of beneficial interest in contribution received by the LLP,/content/mca/global/en/mca/llp-e-filling/Form-4D.html,www.mca.gov.in (relative),INTERNAL
Form LLP-ADJ,/content/mca/global/en/mca/llp-e-filling/Form-LLP-ADJ.html,www.mca.gov.in (relative),INTERNAL
LLP Form-24 Letter View,/content/mca/global/en/mca/llp-e-filling/LLP-Form-24-LetterView.html,www.mca.gov.in (relative),INTERNAL
FO Services,/content/mca/global/en/mca/fo-llp-services.html,www.mca.gov.in (relative),INTERNAL
Verify DIN PAN Details of Director,/content/mca/global/en/mca/fo-llp-services/verify-din-pan-details-of-director.html,www.mca.gov.in (relative),INTERNAL
Enquire DIN Status,/content/mca/global/en/mca/fo-llp-services/enquire-din-status.html,www.mca.gov.in (relative),INTERNAL
Find LLPIN,/content/mca/global/en/mca/fo-llp-services/find-llpin.html,www.mca.gov.in (relative),INTERNAL
Find CIN,/content/mca/global/en/mca/fo-llp-services/findCinFinalSingleCom.html,www.mca.gov.in (relative),INTERNAL
Track Payment Status at NTRP,/content/mca/global/en/mca/fo-llp-services/track-payment-status-at-ntrp.html,www.mca.gov.in (relative),INTERNAL
Enquire Fees,/content/mca/global/en/mca/fo-llp-services/enquire-fees.html,www.mca.gov.in (relative),INTERNAL
Check Company/LLP Name,/content/mca/global/en/mca/fo-llp-services/company-llp-name-search.html,www.mca.gov.in (relative),INTERNAL
Authorize / Suspend User,/content/mca/global/en/mca/fo-llp-services/fo-user-functionality-flow.html,www.mca.gov.in (relative),INTERNAL
Check Annual Filing Status V3,/content/mca/global/en/mca/fo-llp-services/check-annual-filing-status.html,www.mca.gov.in (relative),INTERNAL
List of Proclaimed Offenders u/s 82 Cr.PC.,/content/mca/global/en/mca/fo-llp-services/list-of-proclaimed-offenders.html,www.mca.gov.in (relative),INTERNAL
DSC Services,/content/mca/global/en/mca/dsc-services-v3.html,www.mca.gov.in (relative),INTERNAL
Acquire DSC,/content/mca/global/en/mca/dsc-services-v3/acquire-dsc.html,www.mca.gov.in (relative),INTERNAL
Associate DSC,/content/mca/global/en/mca/dsc-services-v3/associate-dsc.html,www.mca.gov.in (relative),INTERNAL
DSC Certifying Authorities,/content/mca/global/en/mca/dsc-services-v3/dsc-certifying-authorities.html,www.mca.gov.in (relative),INTERNAL
Company e-Filing,/content/mca/global/en/mca/e-filing.html,www.mca.gov.in (relative),INTERNAL
Incorporation &amp; Change services,/content/mca/global/en/mca/e-filing/incorporation-change-services.html,www.mca.gov.in (relative),INTERNAL
RUN - Application for change of name of existing company,/content/mca/global/en/mca/e-filing/incorporation-change-services/run.html,www.mca.gov.in (relative),INTERNAL
